ad_id,campaign_name,installs,signups,trial_starts,trial_starts_sa,trial_starts_ca,trial_converts,trial_converts_sa,trial_converts_ca,initial_purchases,paid,ltv,forecasted_ltv,trial_or_purchase_sa
No Ad ID,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,13165,5265.0,1619.0,1619.0,0.0,627.63,627.63,0.0,0.0,627.63,64826.6,58970.4,0
120248789397960167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,4488,2392.0,735.0,735.0,0.0,278.87,278.87,0.0,0.0,278.87,28508.6,26066.9,776
120249242654880167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,4424,2560.0,657.0,657.0,0.0,251.52,251.52,0.0,0.0,251.52,26066.2,22904.2,689
120249019731940167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,3420,1778.0,464.0,464.0,0.0,175.64,175.64,0.0,0.0,175.64,18146.0,16203.2,485
120249105347140167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,2052,1094.0,329.0,329.0,0.0,125.85,125.85,0.0,0.0,125.85,12817.4,11660.6,344
120246363710990167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1690,926.0,289.0,289.0,0.0,116.29,116.29,0.0,0.0,116.29,11927.4,10996.3,298
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1241,620.0,258.0,258.0,0.0,102.26,102.26,0.0,0.0,102.26,10466.8,9719.8,281
120246913787420167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1697,723.0,252.0,252.0,0.0,95.99,95.99,0.0,0.0,95.99,9897.2,8954.9,274
120248790253970167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1709,769.0,225.0,225.0,0.0,85.95,85.95,0.0,0.0,85.95,8782.8,7983.1,238
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,967,535.0,193.0,193.0,0.0,77.44,77.44,0.0,0.0,77.44,7998.9,7622.7,204
120249784194200167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1331,682.0,191.0,191.0,0.0,74.98,74.98,0.0,0.0,74.98,7797.7,6626.5,204
120249701534270167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1324,630.0,188.0,188.0,0.0,69.24,69.24,0.0,0.0,69.24,7199.9,6574.1,202
120248612089090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1099,527.0,167.0,167.0,0.0,65.44,65.44,0.0,0.0,65.44,6663.4,5918.5,177
120247889446440167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,990,459.0,161.0,161.0,0.0,63.47,63.47,0.0,0.0,63.47,6497.4,5781.4,177
120249859615790167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,825,456.0,162.0,162.0,0.0,61.5,61.5,0.0,0.0,61.5,6395.7,5658.3,173
120236574936400167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,914,390.0,136.0,136.0,0.0,54.93,54.93,0.0,0.0,54.93,5674.8,5375.7,143
120246981244000167,No Campaign Name,925,397.0,139.0,139.0,0.0,54.49,54.49,0.0,0.0,54.49,5566.8,5069.1,159
120248715237150167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,622,341.0,120.0,120.0,0.0,48.18,48.18,0.0,0.0,48.18,4883.2,4273.7,126
120248612012470167,No Campaign Name,736,355.0,114.0,114.0,0.0,45.71,45.71,0.0,0.0,45.71,4629.1,4063.7,127
120249917976060167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,876,415.0,117.0,117.0,0.0,42.93,42.93,0.0,0.0,42.93,4463.7,4085.4,123
120246363711040167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,767,289.0,106.0,106.0,0.0,42.71,42.71,0.0,0.0,42.71,4388.1,4079.8,115
120248489704700167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,647,249.0,98.0,98.0,0.0,40.53,40.53,0.0,0.0,40.53,4103.6,3494.2,107
